id,category,author,title,start_page,end_page
1,oral,石田直希;ロペズギヨーム,運動速度とスマートウォッチを活用した筋力トレーニングの支援,,
2,oral,浅井俊宏;松井智一;諏訪博彦;安本慶一,宅内行動アノテーションの省力化のための行動認識手法の提案と評価,,
3,oral,斉藤天馬;角薫,メタバース空間におけるファントムセンスの実証研究,,
4,oral,由田翔吾;松田裕貴;松田裕貴;横田哲弥;榊原太一;安本慶一,非特定テレビ視聴履歴データに基づくテレビ視聴行動クラスタリングと視聴傾向変化分析,,
5,oral,大森幹真;切替このみ,訓練中の動作・所産からの漢字書字正答率の予測,,
6,oral,小嵜泰造;松田裕貴,ゲーミフィケーションを活用した珠算学習支援システム「CalcQuest」のユーザスタディ,,
7,oral,小北駿;角薫,生成AIを活用した能動的学習環境の構築とハルシネーション問題の解決,,
8,oral,横窪安奈;石田精一郎;竹谷一眞;越塚登,生成AIを用いたいけばな創作支援についての検討,,
9,oral,中原慧,RAG コンパニオンチャットボットの開発と検証 -自己開示とユーザー体験への影響-,,
10,oral,塚本航也;鈴木明作;吉川裕木子;勝間田優樹;山田拓也;石川太郎,エコ行動促進アプリにおけるPUSH配信を用いたフィードバック手法,,
11,oral,村瀬颯登;山本佑樹,経験知を取り込んだ機械学習とデジタルツールに対する心理的障壁の低減,,
12,oral,澤野耕平;松田裕貴;中谷響;大内啓樹;諏訪博彦;安本慶一,未登録PoI探索のための時系列SNS投稿データに基づく位置推定手法の提案と評価,,
13,oral,太田健;角薫,チェロの遠隔練習支援システムの試作と検討,,
14,oral,松田滉生;ロペズギヨーム,仮想現実での視線情報を用いた商品作動ギミックによる関心の変化,,
15,oral,仲山芳古;角薫,メタバースにおける仮想アバターとロールプレイングがコミュニケーションに与える影響 – プロテウス効果の視点から,,
16,oral,菊池尊勝;松井智一;諏訪博彦;安本慶一,宅内デジタルツインを活用した環境センサによる生活行動認識手法の検討,,
17,oral,原田理央;角薫,ペット型人工物の感情表現と動作を用いた習慣改善のための説得技術,,
18,oral,田仲百音;岸野泰恵;下西英之,Thing2Vec: 人の行動理解に向けたモノの使用特性のベクトル埋め込み方法の提案,,
19,oral,長澤颯音;角薫,カードゲームの心理戦における表情の頻度分析,,
20,oral,岩本空;ロペズギヨーム,Immersion Neckwear: 動画体験拡張ネックウェア,,
21,oral,嵯峨京介;角薫,プレイヤーの感情に応じて適応するゲーム環境の試作と評価,,
22,oral,新村温人;ロペズギヨーム,動画視聴における瞬目促進フィードバック手法の検証,,
23,posterdemo,木村淳哉;赤津裕子;片桐一浩,パーソナリティ特性に基づくオンライン実験の分析: クラスター分析による介入効果,,
24,posterdemo,畑井梨里衣;角康之,選書中の一人称映像を用いた行動パターンの分析,,
25,posterdemo,北田結;大森幹真,自閉傾向とマガーク効果における視聴覚刺激への選好,,
26,posterdemo,飯田亜衣;大塚千冬;大森幹真,視覚探索課題からみたASD児の局所的注意の優位性,,
27,posterdemo,渡邊貴子;大森幹真,協調運動得点とASD傾向における読み書きの視線の違い,,
28,posterdemo,古市駿;角薫,現実と仮想をつなぐジェネラティブアート体験：複合現実を活用した学び,,
29,posterdemo,菅野光;橋山智訓,テキスト対話における受信者感情予測の個別化,,
30,posterdemo,是村由佳,応用行動分析学を活用して組織の行動変容につなげる,,
